,Rep,Center-Coord,Avg Velocity,Peak Velocity,Avg Velocity Loss,Peak Velocity Loss,Displacement,Time
0,1,"(612, 1258)",0.9490194898605349,1.2107197265625,,,615,24.47204041481018
1,2,"(596, 1244)",1.057649508708232,1.3463198028564451,-11.446552995835853,-11.199955969904247,641,33.0325722694397
2,3,"(643, 1243)",0.8087003576660157,0.9718379638671876,14.7856955198191,19.730558398808814,590,43.161070346832275
3,4,"(633, 1243)",0.9520932779947916,1.1860941055297851,-0.32389093871069535,2.033965458102553,599,52.40758752822876
4,5,"(491, 1203)",1.0544888991135817,1.3162601074218752,-11.113513513673603,-8.717160424818344,664,63.59653115272522
5,6,"(652, 1223)",0.9572064744998244,1.169198178100586,-0.8626782407274596,3.429493015679429,601,72.70951390266418
