,Rep,Center-Coord,Avg Velocity,Peak Velocity,Avg Velocity Loss,Peak Velocity Loss,Displacement,Time
0,1,"(612, 1258)",0.9109375000000001,1.125,,,530,20.790651559829712
1,2,"(596, 1243)",0.9992647058823527,1.2375,-9.696297043688798,-10.000000000000004,548,28.8104567527771
2,3,"(649, 1244)",0.7532012195121949,0.9,17.31581809814671,20.0,508,38.40009951591492
3,4,"(635, 1243)",0.872635135135135,1.06875,4.204719299058941,4.999999999999992,522,47.31122541427612
4,5,"(494, 1204)",0.9668918918918916,1.18125,-6.142506142506105,-4.999999999999992,577,57.814446210861206
5,6,"(652, 1223)",0.913235294117647,1.06875,-0.25224498032488146,4.999999999999992,499,66.59292030334473
