,Rep,Center-Coord,Avg Velocity,Peak Velocity,Avg Velocity Loss,Peak Velocity Loss,Displacement,Time
0,0,"(578, 1030)",0,0,,,0,267.0
1,1,"(543, 1008)",0.4561174115309074,0.6571193328857422,,,480,408.0
