,cX,cY,Reps,Avg Velocity,Peak Velocity,Avg Velocity Loss,Peak Velocity Loss,Rep
0,576,1030,1,0.4561174115309074,0.6571193328857422,,,1
1,575,1030,1,0.4561174115309074,0.6571193328857422,,,1
2,576,1029,1,0.4561174115309074,0.6571193328857422,,,1
3,575,1028,1,0.4561174115309074,0.6571193328857422,,,1
4,574,1028,1,0.4561174115309074,0.6571193328857422,,,1
5,575,1027,1,0.4561174115309074,0.6571193328857422,,,1
6,575,1026,1,0.4561174115309074,0.6571193328857422,,,1
7,575,1025,1,0.4561174115309074,0.6571193328857422,,,1
8,574,1024,1,0.4561174115309074,0.6571193328857422,,,1
9,575,1022,1,0.4561174115309074,0.6571193328857422,,,1
10,575,1020,1,0.4561174115309074,0.6571193328857422,,,1
11,575,1018,1,0.4561174115309074,0.6571193328857422,,,1
12,575,1015,1,0.4561174115309074,0.6571193328857422,,,1
13,576,1011,1,0.4561174115309074,0.6571193328857422,,,1
14,577,1006,1,0.4561174115309074,0.6571193328857422,,,1
15,577,1001,1,0.4561174115309074,0.6571193328857422,,,1
16,578,994,1,0.4561174115309074,0.6571193328857422,,,1
17,579,987,1,0.4561174115309074,0.6571193328857422,,,1
18,579,979,1,0.4561174115309074,0.6571193328857422,,,1
19,580,971,1,0.4561174115309074,0.6571193328857422,,,1
20,581,962,1,0.4561174115309074,0.6571193328857422,,,1
21,582,952,1,0.4561174115309074,0.6571193328857422,,,1
22,583,941,1,0.4561174115309074,0.6571193328857422,,,1
23,584,929,1,0.4561174115309074,0.6571193328857422,,,1
24,585,917,1,0.4561174115309074,0.6571193328857422,,,1
25,585,905,1,0.4561174115309074,0.6571193328857422,,,1
26,586,892,1,0.4561174115309074,0.6571193328857422,,,1
27,586,880,1,0.4561174115309074,0.6571193328857422,,,1
28,587,868,1,0.4561174115309074,0.6571193328857422,,,1
29,588,856,1,0.4561174115309074,0.6571193328857422,,,1
30,589,844,1,0.4561174115309074,0.6571193328857422,,,1
31,590,833,1,0.4561174115309074,0.6571193328857422,,,1
32,591,821,1,0.4561174115309074,0.6571193328857422,,,1
33,593,809,1,0.4561174115309074,0.6571193328857422,,,1
34,594,798,1,0.4561174115309074,0.6571193328857422,,,1
35,595,786,1,0.4561174115309074,0.6571193328857422,,,1
36,596,774,1,0.4561174115309074,0.6571193328857422,,,1
37,597,763,1,0.4561174115309074,0.6571193328857422,,,1
38,597,752,1,0.4561174115309074,0.6571193328857422,,,1
39,598,741,1,0.4561174115309074,0.6571193328857422,,,1
40,599,729,1,0.4561174115309074,0.6571193328857422,,,1
41,599,718,1,0.4561174115309074,0.6571193328857422,,,1
42,600,706,1,0.4561174115309074,0.6571193328857422,,,1
43,600,695,1,0.4561174115309074,0.6571193328857422,,,1
44,600,684,1,0.4561174115309074,0.6571193328857422,,,1
45,600,673,1,0.4561174115309074,0.6571193328857422,,,1
46,600,661,1,0.4561174115309074,0.6571193328857422,,,1
47,601,651,1,0.4561174115309074,0.6571193328857422,,,1
48,601,640,1,0.4561174115309074,0.6571193328857422,,,1
